PROTEIN	SOURCE	LENGTH	UNIPROT_ID	Tm_(C)
Demethylmenaquinone methyltransferase 	Thermus thermophilus	220	Q5SH76	71.2
Arsenate reductase	Thermus thermophilus	150	Q5SH77	78.17
Oligoendopeptidase F	Thermus thermophilus	563	Q5SH78	65.18
TPR_REGION domain-containing protein	Thermus thermophilus	754	Q5SH83	73.92
Anthranilate phosphoribosyltransferase 	Thermus thermophilus	329	Q5SH88	82.63
SufD protein 	Thermus thermophilus	431	Q5SH90	83.28
SufB protein 	Thermus thermophilus	468	Q5SH91	77.38
SufC protein 	Thermus thermophilus	250	Q5SH92	85.09
NIPSNAP domain-containing protein	Thermus thermophilus	94	Q5SH98	77.45
Putative pre-16S rRNA nuclease 	Thermus thermophilus	135	Q5SHA1	66.07
Uncharacterized protein	Thermus thermophilus	237	Q5SHA5	63.96
Chloromuconate cycloisomerase	Thermus thermophilus	364	Q5SHA6	79.3
Putative hydrolase 	Thermus thermophilus	208	Q5SHA7	88.38
Uncharacterized protein	Thermus thermophilus	261	Q5SHA9	83.13
RNA 2',3'-cyclic phosphodiesterase	Thermus thermophilus	198	Q5SHB1	81.08
Protein RecA 	Thermus thermophilus	340	Q5SHB2	67.72
Ribonuclease Y 	Thermus thermophilus	574	Q5SHB3	79.2
Rod shape-determining protein MreB	Thermus thermophilus	345	Q5SHB4	63.6
S4 RNA-binding domain-containing protein	Thermus thermophilus	213	Q5SHB6	78.74
Fuculose-1-phosphate aldolase	Thermus thermophilus	200	Q5SHB9	73.47
Proline iminopeptidase-related protein	Thermus thermophilus	286	Q5SHC1	83.32
4a-hydroxytetrahydrobiopterin dehydratase 	Thermus thermophilus	80	Q5SHC7	84.93
N-acetyltransferase domain-containing protein	Thermus thermophilus	194	Q5SHD1	73.42
Probable amidase	Thermus thermophilus	434	Q5SHD3	90.34
Probable tRNA sulfurtransferase 	Thermus thermophilus	406	Q5SHD4	65.06
Methylglyoxal synthase 	Thermus thermophilus	126	Q5SHD6	87.59
Putative hydrolase 	Thermus thermophilus	185	Q5SHD9	79.14
Nitro_FeMo-Co domain-containing protein	Thermus thermophilus	109	Q5SHE2	83.18
RNA-splicing ligase RtcB 	Thermus thermophilus	476	Q5SHE5	66.42
GTPase Obg 	Thermus thermophilus	416	Q5SHE9	70.03
Metal dependent phosphohydrolase 	Thermus thermophilus	159	Q5SHF1	76.98
Ribosomal silencing factor RsfS	Thermus thermophilus	113	Q5SHF3	89.66
Pantothenate synthetase 	Thermus thermophilus	276	Q5SHF5	86.16
Pili retraction protein PilT	Thermus thermophilus	368	Q5SHF6	70.36
Fructose-1	Thermus thermophilus	305	Q5SHF7	87.4
Pyrimidine-nucleoside 	Thermus thermophilus	423	Q5SHF9	74.61
Uncharacterized protein	Thermus thermophilus	123	Q5SHG1	89.41
Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta 	Thermus thermophilus	285	Q5SHG2	72.88
Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha 	Thermus thermophilus	316	Q5SHG3	85.43
S-layer-like protein	Thermus thermophilus	469	Q5SHG4	83.68
[LysW]-lysine hydrolase 	Thermus thermophilus	361	Q5SHH3	76.21
[LysW]-aminoadipate semialdehyde transaminase 	Thermus thermophilus	395	Q5SHH5	60.08
Putative glycosyltransferase	Thermus thermophilus	332	Q5SHH9	90.27
Putative mannose-1-phosphate guanylyl transferase 	Thermus thermophilus	337	Q5SHI0	83.39
S1 motif domain-containing protein	Thermus thermophilus	125	Q5SHI2	67.88
Phosphate acyltransferase 	Thermus thermophilus	326	Q5SHI4	63.78
Orotidine 5'-phosphate decarboxylase 	Thermus thermophilus	257	Q5SHI7	82.14
Orotate phosphoribosyltransferase 	Thermus thermophilus	183	Q5SHI8	86.59
Uma2 domain-containing protein	Thermus thermophilus	178	Q5SHJ1	83.14
Uncharacterized protein	Thermus thermophilus	68	Q5SHJ3	84.65
Iron-sulfur cluster biosynthesis protein IscU	Thermus thermophilus	138	Q5SHJ4	70.85
Cysteine desulfurase 	Thermus thermophilus	404	Q5SHJ5	81.64
SHOCT domain-containing protein	Thermus thermophilus	78	Q5SHJ6	73.17
DUF302 domain-containing protein	Thermus thermophilus	129	Q5SHJ8	83.66
Uncharacterized protein	Thermus thermophilus	211	Q5SHJ9	78.56
Putative methyltransferase	Thermus thermophilus	220	Q5SHK1	85.29
Putative response regulator	Thermus thermophilus	225	Q5SHK8	82.63
Copper homeostasis operon regulatory protein	Thermus thermophilus	94	Q5SHL1	79.08
Heavy metal binding protein	Thermus thermophilus	66	Q5SHL2	64.7
Guanosine-3'	Thermus thermophilus	727	Q5SHL3	68.59
Uncharacterized protein	Thermus thermophilus	738	Q5SHL4	83.1
Coproheme decarboxylase 	Thermus thermophilus	249	Q5SHL6	86.62
MEMO1 family protein TTHA1711	Thermus thermophilus	456	Q5SHL9	81.76
SWIM-type domain-containing protein	Thermus thermophilus	474	Q5SHM1	79.82
DUF4388 domain-containing protein	Thermus thermophilus	260	Q5SHM6	85.36
Uncharacterized protein	Thermus thermophilus	132	Q5SHM8	68.11
Uncharacterized protein	Thermus thermophilus	90	Q5SHN0	75.52
tRNA_edit domain-containing protein	Thermus thermophilus	158	Q5SHN1	81.68
Carboxypeptidase G2	Thermus thermophilus	374	Q5SHN2	88.71
30S ribosomal protein S12	Thermus thermophilus	132	Q5SHN3	86.08
Elongation factor G 	Thermus thermophilus	691	Q5SHN5	88.52
Elongation factor Tu-A 	Thermus thermophilus	406	Q5SHN6	80.75
30S ribosomal protein S10	Thermus thermophilus	105	Q5SHN7	88.48
50S ribosomal protein L3	Thermus thermophilus	206	Q5SHN8	87.83
50S ribosomal protein L4 	Thermus thermophilus	210	Q5SHN9	87.34
30S ribosomal protein S19	Thermus thermophilus	93	Q5SHP2	89.08
50S ribosomal protein L22	Thermus thermophilus	113	Q5SHP3	88.98
30S ribosomal protein S17	Thermus thermophilus	105	Q5SHP7	88.75
50S ribosomal protein L14	Thermus thermophilus	122	Q5SHP8	90.3
50S ribosomal protein L24	Thermus thermophilus	110	Q5SHP9	64.17
50S ribosomal protein L5	Thermus thermophilus	182	Q5SHQ0	90.88
30S ribosomal protein S14 type Z	Thermus thermophilus	61	Q5SHQ1	89.23
30S ribosomal protein S8	Thermus thermophilus	138	Q5SHQ2	89.03
30S ribosomal protein S5	Thermus thermophilus	162	Q5SHQ5	88.41
50S ribosomal protein L15	Thermus thermophilus	150	Q5SHQ7	90.99
Protein translocase subunit SecY	Thermus thermophilus	438	Q5SHQ8	68.18
Adenylate kinase 	Thermus thermophilus	186	Q5SHQ9	83.02
Methionine aminopeptidase 	Thermus thermophilus	255	Q5SHR0	84.16
Translation initiation factor IF-1	Thermus thermophilus	72	Q5SHR1	85.78
DNA-directed RNA polymerase subunit alpha 	Thermus thermophilus	315	Q5SHR6	68.96
HNHc domain-containing protein	Thermus thermophilus	170	Q5SHS0	68.2
Tetratricopeptide repeat family protein	Thermus thermophilus	453	Q5SHS1	78.52
Redox-sensing transcriptional repressor Rex	Thermus thermophilus	211	Q5SHS3	88.34
Octaprenyl-diphosphate synthase	Thermus thermophilus	312	Q5SHS5	79.41
dITP/XTP pyrophosphatase 	Thermus thermophilus	207	Q5SHS6	82.15
Putative maltodextrin glucosidase	Thermus thermophilus	551	Q5SHT3	88.13
Uncharacterized protein	Thermus thermophilus	115	Q5SHT4	88.13
Glutamate racemase 	Thermus thermophilus	257	Q5SHT7	72.85
S-adenosylmethionine synthase 	Thermus thermophilus	395	Q5SHT8	82.87
Biosynthetic arginine decarboxylase 	Thermus thermophilus	628	Q5SHU0	80.63
Uncharacterized protein	Thermus thermophilus	186	Q5SHU1	89.62
Ribose-phosphate pyrophosphokinase 	Thermus thermophilus	310	Q5SHU3	79.64
Peptide ABC transporter	Thermus thermophilus	622	Q5SHU6	80.93
tRNA pseudouridine synthase A 	Thermus thermophilus	253	Q5SHU9	62.61
Iron ABC transporter	Thermus thermophilus	350	Q5SHV0	69.4
Osmotically inducible protein OsmC	Thermus thermophilus	142	Q5SHV5	71.48
zf-RING_7 domain-containing protein	Thermus thermophilus	242	Q5SHV6	66.24
Probable thiosulfate sulfurtransferase	Thermus thermophilus	230	Q5SHV8	72.46
Heat shock protein	Thermus thermophilus	156	Q5SHV9	83.61
Cystathionine beta-lyase 	Thermus thermophilus	354	Q5SHW0	78.93
tRNA (guanine-N(7)-)-methyltransferase	Thermus thermophilus	311	Q5SHW1	74.13
Uncharacterized protein	Thermus thermophilus	436	Q5SHW2	61.52
Probable HIT family protein	Thermus thermophilus	110	Q5SHW3	63.66
Adenine phosphoribosyltransferase	Thermus thermophilus	178	Q5SHW6	76.88
Putative adenine phosphoribosyltransferase	Thermus thermophilus	175	Q5SHW7	75.81
5-formyltetrahydrofolate cyclo-ligase 	Thermus thermophilus	184	Q5SHW9	84.35
Thymidylate kinase 	Thermus thermophilus	198	Q5SHX3	67.51
Probable acylamino-acid-releasing enzyme	Thermus thermophilus	618	Q5SHX5	87.67
Uncharacterized protein	Thermus thermophilus	88	Q5SHX6	82.82
Robl_LC7 domain-containing protein	Thermus thermophilus	113	Q5SHX8	85.89
Recombination protein RecR	Thermus thermophilus	194	Q5SHY0	82.76
Nucleoid-associated protein TTHA1599	Thermus thermophilus	105	Q5SHY1	69.23
Delta-aminolevulinic acid dehydratase 	Thermus thermophilus	332	Q5SHY2	88.63
Uncharacterized protein	Thermus thermophilus	571	Q5SHY4	72.51
Protein serine/threonine phosphatase	Thermus thermophilus	254	Q5SHY5	86.85
Uncharacterized protein	Thermus thermophilus	216	Q5SHY7	82.14
Uncharacterized protein	Thermus thermophilus	195	Q5SHY9	63.49
50S ribosomal protein L25 	Thermus thermophilus	206	Q5SHZ1	88.92
DNA gyrase subunit B 	Thermus thermophilus	634	Q5SHZ4	79.73
8-amino-7-oxononanoate synthase/2-amino-3-ketobutyrate coenzyme A ligase 	Thermus thermophilus	395	Q5SHZ8	88.8
Transcriptional regulator	Thermus thermophilus	220	Q5SI00	70.18
Proline dehydrogenase 	Thermus thermophilus	307	Q5SI01	77.8
1-pyrroline-5-carboxylate dehydrogenase	Thermus thermophilus	516	Q5SI02	88.91
Glutamate dehydrogenase	Thermus thermophilus	419	Q5SI03	86.88
Glutamate dehydrogenase	Thermus thermophilus	424	Q5SI04	84.21
Kanamycin resistance protein-related protein	Thermus thermophilus	175	Q5SI05	72.69
Deoxyhypusine synthase-like protein 	Thermus thermophilus	345	Q5SI10	89.28
Uncharacterized protein	Thermus thermophilus	916	Q5SI11	76.07
1,4-dihydroxy-6-naphtoate synthase	Thermus thermophilus	272	Q5SI12	86.99
Transcriptional regulatory protein	Thermus thermophilus	207	Q5SI13	84.65
Putative cysteine ligase BshC 	Thermus thermophilus	484	Q5SI14	83.25
	Thermus thermophilus	475	Q5SI17	65.19
Coenzyme A biosynthesis bifunctional protein CoaBC 	Thermus thermophilus	396	Q5SI20	90.54
Arginine repressor	Thermus thermophilus	164	Q5SI21	61.91
Propionyl-CoA carboxylase	Thermus thermophilus	553	Q5SI23	87.93
Glutamine synthetase and cystathionine beta-lyase binding protein 	Thermus thermophilus	95	Q5SI26	73.78
Uma2 domain-containing protein	Thermus thermophilus	188	Q5SI27	84.64
GMP synthase [glutamine-hydrolyzing] 	Thermus thermophilus	503	Q5SI28	84.41
S-ribosylhomocysteine lyase 	Thermus thermophilus	155	Q5SI29	78.18
5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase 	Thermus thermophilus	220	Q5SI30	88.69
Phosphoribosyl pyrophosphate synthase 	Thermus thermophilus	307	Q5SI31	83.05
Thioesterase family protein	Thermus thermophilus	137	Q5SI34	87.26
Uncharacterized protein	Thermus thermophilus	131	Q5SI36	80.87
tRNA(Ile)-lysidine synthase	Thermus thermophilus	507	Q5SI38	89.85
Ribonuclease II family protein	Thermus thermophilus	598	Q5SI46	85.23
Uncharacterized protein	Thermus thermophilus	250	Q5SI47	87.04
Oligoendopeptidase F	Thermus thermophilus	570	Q5SI48	88.4
tRNA pseudouridine synthase D 	Thermus thermophilus	356	Q5SI49	70.22
Uncharacterized protein	Thermus thermophilus	209	Q5SI50	71.69
Hydroxymethylglutaryl-CoA lyase like protein	Thermus thermophilus	286	Q5SI54	75.9
DNA repair protein RecN 	Thermus thermophilus	528	Q5SI55	83.94
Serine hydroxymethyltransferase 	Thermus thermophilus	407	Q5SI56	85.09
Phosphoribosylformylglycinamidine synthase subunit PurQ 	Thermus thermophilus	227	Q5SI57	66.96
Phosphoribosylformylglycinamidine synthase subunit PurS 	Thermus thermophilus	84	Q5SI58	80.91
Phosphoribosylaminoimidazole-succinocarboxamide synthase 	Thermus thermophilus	229	Q5SI59	82.15
Uma2 domain-containing protein	Thermus thermophilus	187	Q5SI60	85.36
Adenylosuccinate lyase 	Thermus thermophilus	436	Q5SI61	89.03
Putative hydrolase	Thermus thermophilus	219	Q5SI65	84.15
Uroporphyrinogen-III synthase 	Thermus thermophilus	226	Q5SI67	78.8
Glutamyl-tRNA reductase 	Thermus thermophilus	390	Q5SI68	76.88
Response regulator	Thermus thermophilus	227	Q5SI72	81.86
Phosphoenolpyruvate synthase 	Thermus thermophilus	797	Q5SI74	72.93
MoxR-related protein	Thermus thermophilus	296	Q5SI75	71.04
Elongation factor G 	Thermus thermophilus	658	Q5SI76	75.15
JAB_MPN domain-containing protein	Thermus thermophilus	148	Q5SI77	82.03
Arginase 	Thermus thermophilus	291	Q5SI78	77.49
PUA domain-containing protein	Thermus thermophilus	385	Q5SI81	72.84
ATP-dependent zinc metalloprotease FtsH 	Thermus thermophilus	624	Q5SI82	67.7
Rubrerythrin domain-containing protein	Thermus thermophilus	129	Q5SI88	86.5
Uncharacterized protein	Thermus thermophilus	394	Q5SI89	70.89
Small heat shock protein	Thermus thermophilus	137	Q5SI90	72.51
Small heat shock protein	Thermus thermophilus	137	Q5SI94	82.64
Replicative DNA helicase 	Thermus thermophilus	444	Q5SIA4	63.37
Glutamate synthase	Thermus thermophilus	1492	Q5SIA6	88.79
DUF815 domain-containing protein	Thermus thermophilus	345	Q5SIA7	62.04
CTP synthase 	Thermus thermophilus	550	Q5SIA8	78.7
Long-chain-fatty-acid--CoA ligase	Thermus thermophilus	560	Q5SIB1	83.57
Putative phosphoribosyltransferase	Thermus thermophilus	208	Q5SIB2	87.66
ABC transporter	Thermus thermophilus	307	Q5SIB5	74.57
S-adenosylmethionine decarboxylase proenzyme	Thermus thermophilus	147	Q5SIB7	81.32
Succinate dehydrogenase flavoprotein subunit 	Thermus thermophilus	577	Q5SIC0	78.3
Succinate dehydrogenase iron-sulfur subunit 	Thermus thermophilus	232	Q5SIC1	89.02
Aspartate--tRNA	Thermus thermophilus	422	Q5SIC2	87.1
Uncharacterized protein	Thermus thermophilus	437	Q5SIC4	64.82
Putative hydrolase	Thermus thermophilus	251	Q5SIC5	69.77
4-hydroxybutyrate CoA-transferase	Thermus thermophilus	444	Q5SIC6	84.49
Alanine dehydrogenase 	Thermus thermophilus	345	Q5SIC7	63.11
Fructose-1	Thermus thermophilus	322	Q5SIC8	88.22
Histidine biosynthesis bifunctional protein HisIE [Includes: Phosphoribosyl-AMP cyclohydrolase 	Thermus thermophilus	214	Q5SIC9	67.37
Methylenetetrahydrofolate--tRNA-	Thermus thermophilus	443	Q5SID2	78.76
Cyclic AMP receptor protein 	Thermus thermophilus	216	Q5SID7	83.42
Uncharacterized protein	Thermus thermophilus	290	Q5SIE1	68.2
Putative phosphoglucomutase/phosphomannomutase	Thermus thermophilus	295	Q5SIE6	75.18
DNA helicase 	Thermus thermophilus	692	Q5SIE7	75.52
Putative thiamine pyrophosphokinase	Thermus thermophilus	203	Q5SIE9	78.77
Uncharacterized protein	Thermus thermophilus	284	Q5SIF6	64.47
Sulfide dehydrogenase flavocytochrome C	Thermus thermophilus	428	Q5SIF7	60.87
Sulfite dehydrogenase SoxC	Thermus thermophilus	430	Q5SIF8	66.0
Cytochrome c-type biogenesis protein CcmF	Thermus thermophilus	643	Q5SIG5	88.9
Tyrosine--tRNA ligase 	Thermus thermophilus	432	Q5SIH0	79.9
DUF4388 domain-containing protein	Thermus thermophilus	246	Q5SIH4	88.63
Homoserine kinase 	Thermus thermophilus	292	Q5SIH5	88.44
NAD-dependent protein deacylase 	Thermus thermophilus	254	Q5SIH7	84.32
GTPase Der 	Thermus thermophilus	431	Q5SIH8	70.26
Acyltransferase family protein	Thermus thermophilus	191	Q5SIH9	74.89
3-dehydroquinate synthase 	Thermus thermophilus	348	Q5SII3	70.35
Shikimate kinase 	Thermus thermophilus	184	Q5SII4	75.5
Chorismate synthase 	Thermus thermophilus	383	Q5SII5	77.79
General secretion pathway protein 	Thermus thermophilus	757	Q5SII6	72.38
Competence protein PilO	Thermus thermophilus	193	Q5SII8	78.79
Homoisocitrate dehydrogenase 	Thermus thermophilus	334	Q5SIJ1	89.6
Uncharacterized protein	Thermus thermophilus	141	Q5SIJ6	62.67
N-acetylmuramoyl-L-alanine amidase	Thermus thermophilus	360	Q5SIJ7	61.39
LUD_dom domain-containing protein	Thermus thermophilus	187	Q5SIK2	77.17
Putative iron-sulfur protein	Thermus thermophilus	462	Q5SIK3	66.23
Histidine kinase 	Thermus thermophilus	417	Q5SIK6	75.67
Response regulator	Thermus thermophilus	227	Q5SIK7	75.28
Transcriptional regulator SdrP 	Thermus thermophilus	202	Q5SIL0	77.87
Uncharacterized protein	Thermus thermophilus	141	Q5SIL2	69.77
DNA gyrase subunit A 	Thermus thermophilus	805	Q5SIL4	82.17
Probable RNA methyltransferase	Thermus thermophilus	406	Q5SIL6	75.43
Response regulator	Thermus thermophilus	215	Q5SIL7	77.71
Peptidase	Thermus thermophilus	332	Q5SIL8	79.8
Endonuclease V 	Thermus thermophilus	226	Q5SIM2	85.46
Uncharacterized protein	Thermus thermophilus	290	Q5SIM3	85.31
Putative mannose-6-phosphate isomerase	Thermus thermophilus	254	Q5SIM4	85.0
Molybdopterin biosynthesis protein MoeB	Thermus thermophilus	271	Q5SIM5	66.48
Citrate synthase	Thermus thermophilus	377	Q5SIM6	87.57
ABC transporter	Thermus thermophilus	600	Q5SIM8	87.47
Folyl-polyglutamate synthetase	Thermus thermophilus	390	Q5SIM9	82.96
Peptide ABC transporter oligopeptide-binding protein	Thermus thermophilus	501	Q5SIN3	82.09
Branched-chain amino acid ABC transporter	Thermus thermophilus	237	Q5SIN4	60.97
Branched-chain amino acid ABC transporter	Thermus thermophilus	387	Q5SIN9	80.57
Glutamine synthetase 	Thermus thermophilus	446	Q5SIP0	88.49
5'-nucleotidase	Thermus thermophilus	552	Q5SIP1	77.26
MOSC domain-containing protein	Thermus thermophilus	147	Q5SIP2	63.12
Putaitve sulfite oxidase	Thermus thermophilus	407	Q5SIP4	86.45
4-hydroxy-4-methyl-2-oxoglutarate aldolase 	Thermus thermophilus	164	Q5SIP7	88.47
Formyltetrahydrofolate deformylase 	Thermus thermophilus	285	Q5SIP8	84.2
UDP-N-acetylglucosamine 2-epimerase	Thermus thermophilus	376	Q5SIQ5	84.91
Uracil phosphoribosyltransferase 	Thermus thermophilus	208	Q5SIQ7	71.84
APH domain-containing protein	Thermus thermophilus	279	Q5SIQ8	81.86
Bmp domain-containing protein	Thermus thermophilus	379	Q5SIR3	70.28
Bacterioferritin comigratory protein	Thermus thermophilus	158	Q5SIR4	82.19
Uncharacterized protein	Thermus thermophilus	114	Q5SIR7	75.21
Carboxyl-terminal protease	Thermus thermophilus	439	Q5SIR8	86.47
Ribosome hibernation promoting factor 	Thermus thermophilus	186	Q5SIS0	82.65
Metal uptake regulation protein	Thermus thermophilus	122	Q5SIS2	87.78
Nuclease SbcCD subunit D	Thermus thermophilus	372	Q5SIS5	72.5
Exonuclease SbcC	Thermus thermophilus	966	Q5SIS6	75.82
Uncharacterized protein	Thermus thermophilus	342	Q5SIS7	81.28
Acetyl-coenzyme A synthetase	Thermus thermophilus	629	Q5SIS9	74.66
UPF0173 metal-dependent hydrolase TTHA1283	Thermus thermophilus	224	Q5SIT1	85.18
Uncharacterized protein	Thermus thermophilus	117	Q5SIT2	77.19
Uncharacterized protein	Thermus thermophilus	258	Q5SIU7	87.76
ATP-dependent DNA helicase RecG 	Thermus thermophilus	770	Q5SIU8	72.57
Putative zinc protease	Thermus thermophilus	406	Q5SIV0	74.95
3-hydroxybutyryl-CoA dehydrogenase	Thermus thermophilus	290	Q5SIV2	63.32
Putative helicase	Thermus thermophilus	728	Q5SIV7	87.08
tRNA N6-adenosine threonylcarbamoyltransferase 	Thermus thermophilus	326	Q5SIW2	87.04
Protein translocase subunit SecA	Thermus thermophilus	997	Q5SIW3	79.09
Acetyl-coenzyme A synthetase	Thermus thermophilus	627	Q5SIW4	62.3
Acetyl-coenzyme A synthetase	Thermus thermophilus	844	Q5SIW5	77.71
Acetyl-coenzyme A synthetase 	Thermus thermophilus	648	Q5SIW6	62.67
Methylmalonyl-CoA mutase	Thermus thermophilus	514	Q5SIW8	76.97
HTH hxlR-type domain-containing protein	Thermus thermophilus	101	Q5SIX0	88.42
Cell division inhibitor MinE	Thermus thermophilus	73	Q5SIX2	65.93
Spermidine/putrescine ABC transporter	Thermus thermophilus	372	Q5SIX4	81.84
Dihydroxy-acid dehydratase 	Thermus thermophilus	555	Q5SIY0	82.03
